GammaRay(API),ShaleVolume,Resistivity,Sonic,Vp(m/s),Vs(m/s),Density,NeutronPorosity,DensityPorosity(g/cc),PoissonRatio,Depth(m)
64.09,0.6642,0.68,116.78,8563.1101,3856.6972,2.2068,-999.25,0.2379,0.3728,2268
64.59,0.6718,0.66,115.53,8655.7604,3926.6179,2.214,-999.25,0.233,0.3704,2269
59.605,0.5959,0.58,116.78,8563.1101,3878.8078,2.1984,-999.25,0.2465,0.3709,2270
75.527,0.8385,0.5,126.28,7918.9104,3301.3140000000003,2.1825,-999.25,0.2449,0.3948,2271
80.652,0.9167,0.49,138.56,7217.0901,2735.8375,2.1387,-999.25,0.2693,0.4161,2272
76.652,0.8557,0.52,136.56,7322.7885,2834.2627,2.1398,-999.25,0.2714,0.4119,2273
68.152,0.7261,0.52,128.31,7793.6248,3237.1192,2.16,-999.25,0.2646,0.3958,2274
53.605,0.5042,0.53,127.28,7856.6939,3352.8174,2.1382,-999.25,0.2884,0.3887,2275
55.48,0.5327,0.57,131.31,7615.5662,3154.6715,2.1241,-999.25,0.29600000000000004,0.3964,2276
66.59,0.7023,0.62,129.31,7733.354,3197.131,2.1528,-999.25,0.2703,0.3969,2277
64.09,0.6641,0.65,120.53,8296.6896,3648.5585,2.1884,-999.25,0.2495,0.3801,2278
62.355,0.6376,0.68,118.78,8418.9257,3752.5075,2.1937,-999.25,0.2475,0.376,2279
66.277,0.6975,0.71,123.78,8078.8496,3468.1279,2.1772,-999.25,0.2551,0.387,2280
68.465,0.7309,0.69,124.28,8046.347,3432.6114,2.1789,-999.25,0.2524,0.3888,2281
70.34,0.7596,0.66,126.53,7903.264,3312.5819,2.1719999999999997,-999.25,0.2554,0.3934,2282
67.715,0.7195,0.66,128.31,7793.6248,3239.0771,2.1592,-999.25,0.2654,0.3956,2283
64.527,0.6707,0.67,122.03,8194.7062,3566.8202,2.1821,-999.25,0.2532,0.3831,2284
61.262,0.6207,0.67,119.28,8383.6351,3730.2486,2.1892,-999.25,0.2511,0.3766,2285
62.824,0.6446,0.68,127.03,7872.1562,3322.6491,2.156,-999.25,0.2709,0.3916,2286
75.277,0.8353,0.71,131.06,7630.0931,3078.2559,2.1608,-999.25,0.259,0.4028,2287
77.402,0.8679,0.71,124.03,8062.5655,3403.8875,2.1964,-999.25,0.2346,0.3916,2288
72.527,0.7932,0.71,125.03,7998.0805,3376.2686,2.1829,-999.25,0.2469,0.3916,2289
63.324,0.6522,0.71,124.53,8030.1935,3443.938,2.1683,-999.25,0.2628,0.3873,2290
61.699,0.6273,0.71,127.78,7825.9509,3291.6834,2.1506,-999.25,0.2751,0.3925,2291
58.793,0.5827,0.68,128.56,7778.4692,3267.7801,2.1419,-999.25,0.2826,0.3928,2292
63.355,0.6526,0.62,126.78,7887.6794,3332.3872,2.1581,-999.25,0.2692,0.3914,2293
64.152,0.6648,0.57,122.53,8161.2666,3542.51,2.1791,-999.25,0.2554,0.3839,2294
66.465,0.7003,0.55,122.53,8161.2666,3531.5653,2.1833,-999.25,0.251,0.3848,2295
67.402,0.7147,0.54,126.28,7918.9104,3338.1717,2.1678,-999.25,0.2602,0.3919,2296
64.527,0.6705,0.52,127.78,7825.9509,3278.7903,2.1558,-999.25,0.2699,0.3935,2297
53.949,0.508,0.47,127.03,7872.1562,3363.8082,2.1398,-999.25,0.2873,0.3883,2298
57.73,0.5661,0.39,128.31,7793.6248,3284.6245,2.141,-999.25,0.2839,0.392,2299
57.762,0.5665,0.32,130.06,7688.759,3202.1935,2.1334,-999.25,0.2886,0.3951,2300
51.605,0.4718,0.26,129.56,7718.4316,3253.6738,2.1244,-999.25,0.2985,0.3919,2301
47.355,0.4064,0.25,133.56,7487.2716,3090.6234,2.0998,-999.25,0.3166,0.3973,2302
55.637,0.5337,0.27,136.06,7349.6987,2945.4264,2.1044,-999.25,0.3083,0.4043,2303
61.012,0.6164,0.34,130.81,7644.6755,3152.9818,2.1361,-999.25,0.2847,0.3975,2304
40.105,0.2945,0.49,117.53,8508.4659,3934.4175,2.1579,-999.25,0.2855,0.364,2305
28.285999999999998,0.1124,0.65,110.53,9047.3175,4426.3291,2.1702,-999.25,0.2859,0.3427,2306
38.855,0.275,0.7,111.28,8986.3408,4320.6076,2.1866,-999.25,0.2687,0.3497,2307
,0.7965,0.25,137.81,7256.3675,2799.0029999999997,2.1278,-999.25,0.2818,0.4126,2308
,0.7391,0.2,138.06,7243.2276,2804.5841,2.1202,-999.25,0.2893,0.4118,2309
,0.6940000000000001,0.21,138.06,7243.2276,2817.0359999999996,2.1149,-999.25,0.2946,0.4109,2310
,0.7258,0.27,137.31,7282.7908,2839.0723,2.1217,-999.25,0.2889,0.4104,2311
,0.763,0.36,136.31,7336.2189,2870.3577,2.1301,-999.25,0.2819,0.4096,2312
,0.6415,0.52,134.31,7445.4619999999995,2989.7909,2.1242,-999.25,0.2911,0.4039,6313
,0.6327,0.7,127.78,7825.9509,3290.0682,2.1513,-999.25,0.2744,0.3927,6314
,0.6384,0.79,125.78,7950.3896,3385.7098,2.1609,-999.25,0.2681,0.3892,2315
,0.5932,0.72,126.28,7918.9104,3374.7286,2.1533,-999.25,0.275,0.389,2316
,0.6428,0.61,123.78,8078.8496,3484.8607,2.1706,-999.25,0.2618,0.3857,2317
53.918,0.5231,0.53,124.78,8014.1048,3470.835,2.1517,-999.25,0.2792,0.3846,2318
53.793,0.5213,0.51,125.78,7950.3896,3421.2971,2.1469,-999.25,0.2822,0.3864,2319
56.543,0.5603,0.5,124.53,8030.1935,3472.058,2.1572,-999.25,0.27399999999999997,0.385,2320
57.73,0.5771,0.48,124.03,8062.5655,3492.2926,2.1615,-999.25,0.2705,0.3845,2321
57.199,0.5695,0.43,126.78,7887.6794,3357.3992,2.1482,-999.25,0.2792,0.3894,2322
52.105,0.4971,0.38,131.56,7601.0946,3153.7461,2.1188,-999.25,0.3008,0.396,2323
51.137,0.4833,0.36,131.81,7586.6778,3146.4565,2.1162,-999.25,0.3031,0.3961,2324
59.762,0.6058,0.33,130.31,7674.0081,3179.0545,2.137,-999.25,0.2846,0.3964,2325
54.168,0.5263,0.33,130.81,7644.6755,3179.4442,2.1255,-999.25,0.2954,0.3954,2326
49.199,0.4556,0.34,129.31,7733.354,3270.2895,2.1236,-999.25,0.2997,0.3911,2327
45.543,0.4036,0.37,132.31,7558.0077,3147.3555,0.0,-999.25,0.3137,0.3951,2328
47.48,0.431,0.44,127.28,7856.6939,3375.0354,0.0,-999.25,0.2971,0.3869,2329
56.512,0.5594,0.55,119.03,8401.2434,3763.5865,0.0,-999.25,0.2579,0.3745,2330
59.824,0.6065,0.68,116.03,8618.4607,3918.7153,0.0,-999.25,0.2428,0.3697,2331
58.105,0.5820000000000001,0.65,118.03,8472.4223,3812.1862,0.0,-999.25,0.2521,0.3731,2332
53.418,0.5153,0.5,126.78,7887.6794,3373.8286,2.1417,-999.25,0.2857,0.38799999999999996,2333
56.48,0.5588,0.38,130.31,7674.0081,3192.8934,2.1315,-999.25,0.2902,0.3953,2334
58.543,0.5882,0.31,130.56,7659.3137,3172.7241,2.1338,-999.25,0.2874,0.3964,2335
58.199,0.5832,0.28,132.81,7529.5535,3072.4126,2.1237,-999.25,0.294,0.4001,2336
47.105,0.4251,0.31,131.56,7601.0946,3175.0315,2.1104,-999.25,0.3093,0.3943,2337
