GammaRay(API),ShaleVolume,Resistivity,Sonic,Vp(m/s),Vs(m/s),Density,NeutronPorosity,DensityPorosity(g/cc),PoissonRatio,Depth(m)
73.652,0.8042,0.6,137.56,7269.5551,2807.1322,2.1297,-999.25,0.2802,0.4124,2066
65.715,0.6901,0.63,128.81,7763.3724,3224.1233,2.1535,-999.25,0.2704,0.3958,2067
60.418,0.614,0.68,124.03,8062.5655,3480.9577,2.166,-999.25,0.266,0.3854,2068
62.855,0.649,0.67,120.28,8313.9342,3666.7796,2.1878,-999.25,0.2506,0.3793,2069
55.293,0.5402,0.59,123.28,8111.6158,3542.2092,2.1606,-999.25,0.2728,0.3822,2070
55.199,0.5388,0.49,125.03,7998.0805,3453.4397,2.1524,-999.25,0.278,0.3854,2071
59.387,0.599,0.4,125.03,7998.0805,3435.0142,2.1596,-999.25,0.2707,0.3869,2072
57.355,0.5697,0.33,128.06,7808.8396,3295.472,2.1425,-999.25,0.2828,0.3917,2073
46.793,0.4175,0.29,131.56,7601.0946,3177.2569,2.1095,-999.25,0.3101,0.3941,2074
49.98,0.4634,0.27,133.56,7487.2716,3073.9676,2.1065,-999.25,0.31,0.3986,2075
43.293,0.3669,0.26,134.06,7459.3466,3080.0894,2.0932,-999.25,0.3224,0.3972,2076
36.262,0.2655,0.23,135.81,7363.228,3033.5554,2.0742,-999.25,0.3383,0.3978,2077
31.599,0.1981,0.21,136.31,7336.2189,3031.8113,2.0644,-999.25,0.3471,0.397,2078
35.887,0.2598,0.21,136.31,7336.2189,3013.7331,2.0716,-999.25,0.3402,0.3985,2079
44.574,0.385,0.26,131.81,7586.6778,3175.5059,2.1046,-999.25,0.3145,0.3938,2080
63.355,0.6559999999999999,0.35,122.78,8144.649,3532.2462,2.1768,-999.25,0.2572,0.3842,2081
64.09,0.6666,0.46,112.28,8906.3057,4124.0719,2.2301,-999.25,0.2231,0.3635,2082
48.355,0.4394,0.49,121.53,8228.421,3665.813,2.1565,-999.25,0.2799,0.3762,2083
48.793,0.4456,0.39,135.31,7390.4368,3002.7511,2.0972,-999.25,0.3166,0.4011,2084
51.387,0.483,0.29,134.81,7417.8473,3013.5683,2.1036,-999.25,0.311,0.4012,2085
49.449,0.455,0.23,134.56,7431.629,3032.5445,2.1014,-999.25,0.3136,0.4001,2086
45.699,0.4007,0.22,132.56,7543.7538,3136.94,2.1033,-999.25,0.3147,0.3955,2087
